"Time","superficie s11"
2023-08-11 05:00:00,32.27
2023-08-11 06:00:00,32.13
2023-08-11 07:00:00,32.06
2023-08-11 08:00:00,32.02
2023-08-11 09:00:00,32.13
2023-08-11 10:00:00,32.36
2023-08-11 11:00:00,32.51
2023-08-11 12:00:00,32.70
2023-08-11 13:00:00,33.01
2023-08-11 14:00:00,33.35
2023-08-11 15:00:00,33.63
2023-08-11 16:00:00,33.80
2023-08-11 17:00:00,33.90
2023-08-11 18:00:00,33.93
2023-08-11 19:00:00,33.85
2023-08-11 20:00:00,33.76
2023-08-11 21:00:00,33.60
2023-08-11 22:00:00,33.46
2023-08-11 23:00:00,33.32
2023-08-12 00:00:00,33.16
2023-08-12 01:00:00,33.05
2023-08-12 02:00:00,32.94
2023-08-12 03:00:00,32.79
2023-08-12 04:00:00,32.64
2023-08-12 05:00:00,32.53
2023-08-12 06:00:00,32.39
2023-08-12 07:00:00,32.30
2023-08-12 08:00:00,32.24
2023-08-12 09:00:00,32.29
2023-08-12 10:00:00,32.46
2023-08-12 11:00:00,32.67
2023-08-12 12:00:00,33.10
2023-08-12 13:00:00,33.45
2023-08-12 14:00:00,33.72
2023-08-12 15:00:00,34.01
2023-08-12 16:00:00,34.13
2023-08-12 17:00:00,34.27
2023-08-12 18:00:00,34.29
2023-08-12 19:00:00,34.19
2023-08-12 20:00:00,34.06
2023-08-12 21:00:00,33.85
2023-08-12 22:00:00,33.73
2023-08-12 23:00:00,33.58
2023-08-13 00:00:00,33.42
2023-08-13 01:00:00,33.30
2023-08-13 02:00:00,33.19
2023-08-13 03:00:00,33.03
2023-08-13 04:00:00,32.94
2023-08-13 05:00:00,32.78
2023-08-13 06:00:00,32.65
2023-08-13 07:00:00,32.52
2023-08-13 08:00:00,32.50
2023-08-13 09:00:00,32.50
2023-08-13 10:00:00,32.66
2023-08-13 11:00:00,32.86
2023-08-13 12:00:00,33.03
2023-08-13 13:00:00,33.25
2023-08-13 14:00:00,33.54
2023-08-13 15:00:00,33.85
2023-08-13 16:00:00,34.03
2023-08-13 17:00:00,34.14
